,importance,stddev,p_value,n,p99_high,p99_low
tcp_window_3,0.0007600000000000051,0.00026076809620811557,0.0014311074329570062,5,0.001296925114290626,0.00022307488570938428
ip_dst_25,0.00027999999999999136,0.00022803508501984142,0.02580297890559402,5,0.0007495273918356623,-0.00018952739183567956
tcp_dport_4,0.00012000000000000899,0.0001788854382000069,0.10400000000001053,5,0.0004883275897133296,-0.0002483275897133116
tcp_dport_3,0.00011999999999998679,0.00010954451150102115,0.035241998455109974,5,0.00034555366324663943,-0.00010555366324666585
ip_dst_29,7.999999999999118e-05,0.00010954451150102115,0.08890390417811063,5,0.0003055536632466438,-0.00014555366324666146
tcp_dport_1,7.999999999999118e-05,0.00010954451150102115,0.08890390417811063,5,0.0003055536632466438,-0.00014555366324666146
tcp_seq_3,7.999999999999118e-05,0.00010954451150102115,0.08890390417811063,5,0.0003055536632466438,-0.00014555366324666146
ip_dst_27,7.999999999999118e-05,0.00010954451150102115,0.08890390417811063,5,0.0003055536632466438,-0.00014555366324666146
tcp_sport_6,7.999999999999118e-05,0.00010954451150102115,0.08890390417811063,5,0.0003055536632466438,-0.00014555366324666146
tcp_dport_6,7.999999999999118e-05,0.00010954451150102115,0.08890390417811063,5,0.0003055536632466438,-0.00014555366324666146
tcp_sport_3,7.999999999999118e-05,0.00010954451150102115,0.08890390417811063,5,0.0003055536632466438,-0.00014555366324666146
tcp_dport_14,7.999999999999118e-05,0.00010954451150102115,0.08890390417811063,5,0.0003055536632466438,-0.00014555366324666146
tcp_chksum_15,3.999999999999559e-05,8.944271909998174e-05,0.1869504831500295,5,0.00022416379485661118,-0.00014416379485661997
tcp_window_8,3.999999999999559e-05,8.944271909998174e-05,0.1869504831500295,5,0.00022416379485661118,-0.00014416379485661997
tcp_ack_1,3.999999999999559e-05,8.944271909998174e-05,0.1869504831500295,5,0.00022416379485661118,-0.00014416379485661997
tcp_seq_5,3.999999999999559e-05,8.944271909998174e-05,0.1869504831500295,5,0.00022416379485661118,-0.00014416379485661997
ip_src_25,3.999999999999559e-05,8.944271909998174e-05,0.1869504831500295,5,0.00022416379485661118,-0.00014416379485661997
tcp_sport_1,3.999999999999559e-05,8.944271909998174e-05,0.1869504831500295,5,0.00022416379485661118,-0.00014416379485661997
tcp_dport_5,3.999999999999559e-05,8.944271909998174e-05,0.1869504831500295,5,0.00022416379485661118,-0.00014416379485661997
tcp_sport_4,3.999999999999559e-05,8.944271909998174e-05,0.1869504831500295,5,0.00022416379485661118,-0.00014416379485661997
tcp_sport_8,3.999999999999559e-05,8.944271909998174e-05,0.1869504831500295,5,0.00022416379485661118,-0.00014416379485661997
tcp_dport_7,3.999999999999559e-05,8.944271909998174e-05,0.1869504831500295,5,0.00022416379485661118,-0.00014416379485661997
tcp_dport_9,3.999999999999559e-05,8.944271909998174e-05,0.1869504831500295,5,0.00022416379485661118,-0.00014416379485661997
tcp_sport_9,3.999999999999559e-05,8.944271909998174e-05,0.1869504831500295,5,0.00022416379485661118,-0.00014416379485661997
tcp_chksum_9,3.999999999999559e-05,8.944271909998174e-05,0.1869504831500295,5,0.00022416379485661118,-0.00014416379485661997
tcp_ack_7,0.0,0.0,0.5,5,0.0,0.0
tcp_seq_28,0.0,0.0,0.5,5,0.0,0.0
tcp_seq_21,0.0,0.0,0.5,5,0.0,0.0
tcp_seq_22,0.0,0.0,0.5,5,0.0,0.0
tcp_seq_23,0.0,0.0,0.5,5,0.0,0.0
tcp_ack_4,0.0,0.0,0.5,5,0.0,0.0
tcp_seq_24,0.0,0.0,0.5,5,0.0,0.0
tcp_seq_25,0.0,0.0,0.5,5,0.0,0.0
tcp_seq_26,0.0,0.0,0.5,5,0.0,0.0
tcp_seq_27,0.0,0.0,0.5,5,0.0,0.0
tcp_seq_29,0.0,0.0,0.5,5,0.0,0.0
tcp_ack_6,0.0,0.0,0.5,5,0.0,0.0
tcp_seq_30,0.0,0.0,0.5,5,0.0,0.0
tcp_seq_31,0.0,0.0,0.5,5,0.0,0.0
tcp_ack_5,0.0,0.0,0.5,5,0.0,0.0
tcp_ack_9,0.0,0.0,0.5,5,0.0,0.0
tcp_ack_3,0.0,0.0,0.5,5,0.0,0.0
tcp_ack_2,0.0,0.0,0.5,5,0.0,0.0
tcp_ack_8,0.0,0.0,0.5,5,0.0,0.0
tcp_seq_20,0.0,0.0,0.5,5,0.0,0.0
tcp_ack_0,0.0,0.0,0.5,5,0.0,0.0
tcp_seq_11,0.0,0.0,0.5,5,0.0,0.0
tcp_seq_19,0.0,0.0,0.5,5,0.0,0.0
tcp_seq_6,0.0,0.0,0.5,5,0.0,0.0
tcp_dport_8,0.0,0.0,0.5,5,0.0,0.0
tcp_dport_10,0.0,0.0,0.5,5,0.0,0.0
tcp_dport_11,0.0,0.0,0.5,5,0.0,0.0
tcp_dport_12,0.0,0.0,0.5,5,0.0,0.0
tcp_dport_13,0.0,0.0,0.5,5,0.0,0.0
