,importance,stddev,p_value,n,p99_high,p99_low
ip_id_0,0.30056,0.0056734469240488925,1.5227836492541284e-08,5,0.31224170563198644,0.28887829436801354
ip_id_1,0.28472,0.00451796414328397,7.60562090078747e-09,5,0.2940225506159222,0.27541744938407775
ip_id_2,0.24379999999999996,0.004578209256903833,1.4915053973131988e-08,5,0.25322659613754145,0.23437340386245847
ip_id_3,0.13799999999999998,0.0037363083384539075,6.441861496673259e-08,5,0.14569311051014577,0.1303068894898542
ip_id_4,0.06463999999999996,0.0026396969523034605,3.3298685245949963e-07,5,0.0700751725092819,0.059204827490718016
ip_len_15,0.044279999999999986,0.003422279941793205,4.247778995468619e-06,5,0.0513265217010877,0.03723347829891227
udp_chksum_15,0.03939999999999999,0.0023065125189341605,1.4029356982850516e-06,5,0.04414914115587629,0.034650858844123694
udp_chksum_14,0.022760000000000002,0.0011081516141755966,6.722293816987408e-07,5,0.025041699489870537,0.020478300510129468
ip_len_14,0.014039999999999964,0.0007536577472566718,9.925280389343344e-07,5,0.015591791718258505,0.012488208281741423
ip_id_5,0.00544,0.0016334013591276493,0.0008683119506059432,5,0.008803195974449785,0.0020768040255502154
ip_id_6,0.0012399999999999744,0.000497995983919539,0.0025487702824307356,5,0.002265380613926269,0.00021461938607367963
dns_qd_268,0.0008399999999999741,0.0007127411872482209,0.028931667620886257,5,0.002307543955674157,-0.0006275439556742087
dns_qd_408,0.0005200000000000094,0.0005761944116354943,0.05687890241430527,5,0.0017063922574105865,-0.0006663922574105677
dns_qd_420,0.0005200000000000094,0.0005761944116355136,0.05687890241430966,5,0.0017063922574106262,-0.0006663922574106074
dns_qd_183,0.00047999999999999156,0.0002683281572999907,0.008065044950048334,5,0.001032491384569932,-7.24913845699489e-05
dns_qd_449,0.00047999999999996933,0.0003633180424916834,0.020897340228023923,5,0.0012280768710793413,-0.0002680768710794027
dns_qd_447,0.00043999999999999595,0.0003286335345030905,0.020093109127711502,5,0.0011166609897400094,-0.00023666098974001756
dns_qd_274,0.00043999999999999595,0.0003577708763999518,0.02568721542218173,5,0.0011766551794265094,-0.00029665517942651753
dns_qd_221,0.00043999999999999595,0.0002607680962081113,0.009777106360153252,5,0.0009769251142906078,-9.692511429061602e-05
